frame,view_id,eligible,base_rows,deep_pixels,winner,winner_reason,pursuit_target_reached,pursuit_protected_safe,pursuit_added_rows,pursuit_highpass_reduction,pursuit_laplacian_reduction,pursuit_foreground_psnr_gain_db,pursuit_seconds,error_only_target_reached,error_only_protected_safe,error_only_added_rows,error_only_highpass_reduction,error_only_laplacian_reduction,error_only_foreground_psnr_gain_db,error_only_seconds
frame_00009,C0021,True,5344,218640,pursuit,only pursuit reached the shared detail target,True,True,512,0.25629690006136296,0.2759519697624294,0.05734650595350388,7.173635766841471,False,True,6656,0.18474877056564032,0.22225844631393632,3.5090753992815884,10.743852680549026
frame_00009,C0022,True,5408,176475,pursuit,only pursuit reached the shared detail target,True,True,640,0.2521107167638885,0.25721592584934194,0.0443455158677466,6.509093062952161,False,True,7168,0.031432945492825826,0.03565249444731866,2.7245162373530007,9.165609617717564
frame_00009,C0025,True,5376,149531,pursuit,only pursuit reached the shared detail target,True,True,512,0.2746053095828008,0.28504155323013736,0.05578307226348045,6.289105512201786,False,True,5632,0.1088657956767457,0.10378676625621808,4.217597031837904,8.403001992031932
frame_00009,C0026,True,5216,180900,pursuit,only pursuit reached the shared detail target,True,True,640,0.2582334256502058,0.28279934488358305,0.062484788701880234,6.854898468591273,False,True,5632,0.09796531948307785,0.13256812639670512,3.2376769396867715,9.116000002250075
frame_00009,C0028,True,5248,176660,pursuit,only pursuit reached the shared detail target,True,True,384,0.27960656691789454,0.2506430636624838,0.049893001005262505,6.169425257481635,False,True,6144,0.1539981903699662,0.12300695408987072,3.3647259138933556,8.951103787869215
frame_00009,C0029,True,5312,170663,pursuit,only pursuit reached the shared detail target,True,True,1664,0.253741952749421,0.2680269312406214,0.06492026766053627,8.34754962939769,False,True,5632,0.04038232386143892,0.05848927213121502,2.942672806504877,8.560295963659883
frame_00009,C0030,True,5408,177824,pursuit,only pursuit reached the shared detail target,True,True,896,0.2562754598531559,0.2664881854946909,0.07735101289035384,7.833238155581057,False,True,7168,0.11019551377480852,0.10610966001225652,3.9332095290470512,10.347753498703241
frame_00009,C0031,True,5312,139207,pursuit,only pursuit reached the shared detail target,True,True,256,0.25809753726474216,0.24275967013068,0.06317624322339555,11.465812990441918,False,True,5632,0.1730557771036585,0.19122757941264035,3.474671320701475,14.229431805200875
frame_00009,C0034,True,5248,192359,pursuit,only pursuit reached the shared detail target,True,True,512,0.27857748397678384,0.2623751907000812,0.07320361776043782,6.87876698281616,False,True,4608,0.07729487361674725,0.08837221087191205,3.0043698477850853,8.70777943637222
frame_00009,C0037,True,5248,170217,pursuit,only pursuit reached the shared detail target,True,True,640,0.27590428098155084,0.26896604071905683,0.0391148212565362,6.442810968495905,False,True,6144,0.08846563636663995,0.09794848439713877,2.491009999361367,9.124999549239874
frame_00009,C0039,True,5344,82459,pursuit,both reached target; pursuit used fewer rows,True,True,384,0.2843087692096229,0.29149852683194943,0.05089355064658818,8.684116109274328,True,True,3385,0.5018466097929086,0.5407302916388053,5.1231892612128185,10.38580454327166
frame_00009,C1000,True,5312,191756,pursuit,only pursuit reached the shared detail target,True,True,512,0.26297973592324253,0.2843448662224958,0.0349417696000387,6.716618908569217,False,True,7168,0.18209129197161789,0.1867270753710637,3.638174221712962,12.425554699264467
frame_00009,C1001,True,5376,207755,pursuit,only pursuit reached the shared detail target,True,True,384,0.2911306875138183,0.28035705866234284,0.05733192757580596,6.945198941044509,False,True,7680,0.21558350344626254,0.2307235195235693,3.652813921870198,13.387274329550564
frame_00009,C1002,True,5376,79584,pursuit,only pursuit reached the shared detail target,True,True,256,0.3186289422923564,0.3458856472277204,0.022224482272715562,3.6267759315669537,False,True,2759,0.1625944735870487,0.2796224377162747,4.0520706098259005,4.725035158917308
frame_00009,C1004,True,5312,201057,pursuit,both reached target; pursuit used fewer rows,True,True,256,0.25461613975353214,0.2389074718591777,0.054046431261244976,6.516109671443701,True,True,5520,0.30541351381409254,0.29427095277760285,2.912843130332295,12.474782548844814
