image,budget,seed,strategy,background,background_count,detail_count,background_actual_fraction,base_psnr,psnr,d_psnr,base_ms_ssim,ms_ssim,d_ms_ssim,base_auc_psnr,auc_psnr,d_auc_psnr,base_edge_mae,edge_mae,d_edge_mae,base_fit_seconds,fit_seconds,d_fit_seconds,base_total_seconds,total_seconds,d_total_seconds,base_large_support_fraction,large_support_fraction,d_large_support_fraction,base_large_support_detail_fraction,large_support_detail_fraction,d_large_support_detail_fraction
kodim19,2000,0,aniso_onedge,frac0.05_grid8,64,1936,0.032,27.313700,27.424900,0.111200,0.918220,0.921840,0.003620,27.261956,26.861547,-0.400409,0.040810,0.044165,0.003355,5.572244,8.366223,2.793979,5.906107,8.722368,2.816261,0.028000,0.146500,0.118500,0.028000,0.118285,0.090285
kodim19,2000,0,aniso_onedge,frac0.10_grid16,200,1800,0.1,27.313700,27.295700,-0.018000,0.918220,0.917890,-0.000330,27.261956,26.763468,-0.498488,0.040810,0.044838,0.004028,5.572244,8.071146,2.498902,5.906107,8.391507,2.485400,0.028000,0.110500,0.082500,0.028000,0.122778,0.094778
kodim19,2000,0,quadtree_wse,frac0.05_grid8,64,1936,0.032,27.192600,27.440500,0.247900,0.915250,0.920570,0.005320,27.203215,26.856111,-0.347105,0.041116,0.044208,0.003092,5.346534,8.151891,2.805357,5.941125,8.761949,2.820823,0.022500,0.135500,0.113000,0.022500,0.106921,0.084421
kodim19,2000,0,quadtree_wse,frac0.10_grid16,200,1800,0.1,27.192600,27.414500,0.221900,0.915250,0.918780,0.003530,27.203215,26.823384,-0.379832,0.041116,0.044580,0.003464,5.346534,7.908597,2.562063,5.941125,8.474633,2.533508,0.022500,0.092500,0.070000,0.022500,0.102778,0.080278
kodim01,5000,0,aniso_onedge,frac0.05_grid8,64,4936,0.0128,25.486100,25.821900,0.335800,0.927330,0.935190,0.007860,25.450179,25.415513,-0.034667,0.046926,0.047785,0.000859,4.690689,7.973894,3.283206,5.552875,9.044764,3.491889,0.002600,0.044400,0.041800,0.002600,0.032010,0.029410
kodim01,5000,0,aniso_onedge,frac0.10_grid16,256,4744,0.0512,25.486100,25.789500,0.303400,0.927330,0.933740,0.006410,25.450179,25.399999,-0.050180,0.046926,0.047941,0.001015,4.690689,8.017750,3.327061,5.552875,8.881140,3.328264,0.002600,0.028400,0.025800,0.002600,0.029933,0.027333
kodim01,5000,0,quadtree_wse,frac0.05_grid8,64,4936,0.0128,25.483600,25.766300,0.282700,0.926010,0.935170,0.009160,25.465854,25.361794,-0.104060,0.046879,0.048428,0.001549,4.606627,8.125301,3.518674,6.194069,9.681716,3.487647,0.001600,0.042200,0.040600,0.001600,0.029781,0.028181
kodim01,5000,0,quadtree_wse,frac0.10_grid16,256,4744,0.0512,25.483600,25.706700,0.223100,0.926010,0.933330,0.007320,25.465854,25.336927,-0.128927,0.046879,0.048639,0.001760,4.606627,8.102485,3.495858,6.194069,9.612448,3.418379,0.001600,0.033000,0.031400,0.001600,0.034781,0.033181
kodim07,5000,0,aniso_onedge,frac0.05_grid8,64,4936,0.0128,33.291100,33.643200,0.352100,0.986270,0.987850,0.001580,33.154010,32.694473,-0.459537,0.019312,0.021108,0.001796,4.874376,7.731390,2.857013,5.778742,8.676831,2.898089,0.002800,0.034800,0.032000,0.002800,0.022285,0.019485
kodim07,5000,0,aniso_onedge,frac0.10_grid16,256,4744,0.0512,33.291100,33.432000,0.140900,0.986270,0.987360,0.001090,33.154010,32.487552,-0.666458,0.019312,0.021827,0.002515,4.874376,7.327293,2.452917,5.778742,8.230652,2.451910,0.002800,0.017600,0.014800,0.002800,0.018550,0.015750
kodim07,5000,0,quadtree_wse,frac0.05_grid8,64,4936,0.0128,33.456800,33.513000,0.056200,0.987010,0.987500,0.000490,33.187493,32.536382,-0.651111,0.019242,0.021779,0.002537,4.861739,7.770363,2.908623,6.440995,9.372228,2.931234,0.002800,0.031800,0.029000,0.002800,0.019246,0.016446
kodim07,5000,0,quadtree_wse,frac0.10_grid16,256,4744,0.0512,33.456800,33.361500,-0.095300,0.987010,0.987310,0.000300,33.187493,32.407588,-0.779904,0.019242,0.022101,0.002859,4.861739,7.829085,2.967345,6.440995,9.340249,2.899254,0.002800,0.019000,0.016200,0.002800,0.020025,0.017225
kodim13,5000,0,aniso_onedge,frac0.05_grid8,64,4936,0.0128,22.493700,22.514400,0.020700,0.884080,0.896250,0.012170,22.346391,22.192508,-0.153883,0.072079,0.073921,0.001842,4.939598,9.568353,4.628755,5.878915,10.471451,4.592536,0.002600,0.076600,0.074000,0.002600,0.064627,0.062027
kodim13,5000,0,aniso_onedge,frac0.10_grid16,256,4744,0.0512,22.493700,22.423800,-0.069900,0.884080,0.895000,0.010920,22.346391,22.118934,-0.227457,0.072079,0.074915,0.002836,4.939598,9.767053,4.827455,5.878915,10.624519,4.745604,0.002600,0.068200,0.065600,0.002600,0.071880,0.069280
kodim13,5000,0,quadtree_wse,frac0.05_grid8,64,4936,0.0128,22.434700,22.474800,0.040100,0.879200,0.894580,0.015380,22.335596,22.142889,-0.192707,0.072315,0.074294,0.001979,4.923637,9.937745,5.014107,6.201001,11.202974,5.001972,0.002600,0.080400,0.077800,0.002600,0.068476,0.065876
kodim13,5000,0,quadtree_wse,frac0.10_grid16,256,4744,0.0512,22.434700,22.371500,-0.063200,0.879200,0.892490,0.013290,22.335596,22.064622,-0.270974,0.072315,0.075380,0.003065,4.923637,9.695786,4.772149,6.201001,10.920745,4.719744,0.002600,0.064800,0.062200,0.002600,0.068297,0.065697
kodim19,5000,0,aniso_onedge,frac0.05_grid8,64,4936,0.0128,30.374300,30.030200,-0.344100,0.952510,0.955270,0.002760,29.862704,29.342009,-0.520696,0.027262,0.030093,0.002831,6.188195,9.013836,2.825641,7.152936,10.112830,2.959894,0.015600,0.079200,0.063600,0.015600,0.067261,0.051661
kodim19,5000,0,aniso_onedge,frac0.10_grid16,256,4744,0.0512,30.374300,29.958800,-0.415500,0.952510,0.953530,0.001020,29.862704,29.310953,-0.551752,0.027262,0.030237,0.002975,6.188195,9.368232,3.180037,7.152936,10.418694,3.265758,0.015600,0.069200,0.053600,0.015600,0.072934,0.057334
kodim19,5000,0,quadtree_wse,frac0.05_grid8,64,4936,0.0128,30.561800,30.221800,-0.340000,0.953860,0.956900,0.003040,30.059041,29.534830,-0.524211,0.026594,0.029322,0.002728,6.114123,8.827829,2.713706,7.437407,10.183545,2.746138,0.012800,0.063800,0.051000,0.012800,0.051661,0.038861
kodim19,5000,0,quadtree_wse,frac0.10_grid16,256,4744,0.0512,30.561800,30.075300,-0.486500,0.953860,0.955480,0.001620,30.059041,29.423844,-0.635197,0.026594,0.029701,0.003107,6.114123,9.017915,2.903792,7.437407,10.298388,2.860981,0.012800,0.055000,0.042200,0.012800,0.057968,0.045168
