budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,26.0,8,4,0.5,203,0.36132675409317017
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,28.0,8,2,0.25,117,0.2036815881729126
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,30.0,8,2,0.25,219,0.3608623743057251
all,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,32.0,8,2,0.25,372.5,0.6178444623947144
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,22.0,8,8,1.0,105.75,0.19083231687545776
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,24.0,8,8,1.0,244.5,0.40589502453804016
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,26.0,8,4,0.5,206.75,0.34178870916366577
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,28.0,8,2,0.25,115,0.19901227951049805
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,30.0,8,2,0.25,216.5,0.35635364055633545
all,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,32.0,8,2,0.25,367,0.5999948978424072
all,structsplat_onedge_tensor,SS on-edge + tensor,22.0,8,8,1.0,98.125,0.18315032124519348
all,structsplat_onedge_tensor,SS on-edge + tensor,24.0,8,8,1.0,248.5,0.4148624539375305
all,structsplat_onedge_tensor,SS on-edge + tensor,26.0,8,4,0.5,213.75,0.35661017894744873
all,structsplat_onedge_tensor,SS on-edge + tensor,28.0,8,2,0.25,113.5,0.19923460483551025
all,structsplat_onedge_tensor,SS on-edge + tensor,30.0,8,2,0.25,235.5,0.38843250274658203
all,structsplat_onedge_tensor,SS on-edge + tensor,32.0,8,2,0.25,421,0.6898078918457031
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,22.0,8,8,1.0,92.625,0.17412757873535156
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,24.0,8,8,1.0,230.5,0.38825684785842896
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,26.0,8,4,0.5,199,0.3436112403869629
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,28.0,8,2,0.25,108,0.19942796230316162
all,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,30.0,8,2,0.25,198,0.3147084712982178
