final_budget,method,method_label,iter,mean_psnr,std_psnr,runs
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,450,27.126253128051758,3.4507200090816554,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,475,27.363937616348267,3.5635876519382594,8
640,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,499,27.506691217422485,3.6199747065699794,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,0,16.551165223121643,1.3043055193108428,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,25,20.77493381500244,2.416824788337547,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,50,21.922346115112305,2.562394816466661,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,75,22.581018209457397,2.663826142529144,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,100,22.57700204849243,2.655893140146011,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,125,23.212971448898315,2.8122894807297305,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,150,23.66485834121704,2.9035521108185485,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,175,23.394951820373535,2.7379099532211706,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,200,24.232825756072998,2.907585157473341,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,225,24.64160704612732,2.9463455127423583,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,250,23.27349615097046,2.561543986377303,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,275,25.045488119125366,2.928191929366148,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,300,25.430012702941895,2.979259115912257,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,325,25.72261667251587,3.057106465132633,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,350,25.683752059936523,3.096492578421369,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,375,26.151044607162476,3.1648204832947875,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,400,26.41242289543152,3.234666756695412,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,425,25.990128755569458,3.158299121100536,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,450,26.778151273727417,3.3187890167200194,8
640,structsplat_onedge_residual_relocate,SS on-edge + residual relocate,475,27.06540083885193,3.4083793202637067,8
