image,budget,seed,init_budget,max_gaussians,strategy,tensor,tensor_color,density,sampling,orientation,color,scale,scale_cap,opacity,renderer,loss,optimizer,lr_schedule,refine,pyramid,config_label,is_baseline,status,psnr,ssim,ms_ssim,lpips,auc_psnr,iters_to_target,iters_to_targets,seconds_to_target,n_gaussians,init_seconds,fit_seconds,total_seconds
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add|pyramid=single,False,ok,25.6742,0.82528,0.95461,,23.146523815090372,,{'28.0': None},,256,0.035413265228271484,1.1339147090911865,1.1818268299102783
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms|pyramid=single,False,ok,25.6612,0.82485,0.95404,,23.2191670789557,,{'28.0': None},,256,0.031829118728637695,1.1265573501586914,1.1720902919769287
COCO_train2014_000000000030_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms_residual_color|pyramid=single,False,ok,25.5683,0.82087,0.95266,,22.918319540508723,,{'28.0': None},,256,0.03322887420654297,1.2110631465911865,1.2567102909088135
COCO_train2014_000000000030_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,pyramid,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=pyramid,False,ok,24.0862,0.76892,0.93517,,20.789468506635245,,{'28.0': None},,256,0.0941617488861084,1.4029436111450195,1.497105360031128
COCO_train2014_000000000034_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=single,True,ok,19.1126,0.51437,0.84546,,17.834288516287078,,{'28.0': None},,256,0.03420424461364746,0.9900071620941162,1.0349149703979492
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add|pyramid=single,False,ok,18.5966,0.48021,0.82756,,17.30804399716652,,{'28.0': None},,256,0.034087181091308594,0.9821748733520508,1.0273725986480713
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms|pyramid=single,False,ok,18.7343,0.48604,0.83393,,17.508493795233257,,{'28.0': None},,256,0.03342127799987793,1.97332763671875,2.0189528465270996
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_residual_color|pyramid=single,False,ok,18.4352,0.46822,0.82246,,16.470356698763574,,{'28.0': None},,256,0.040512800216674805,1.005307674407959,1.0560553073883057
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_add_nms_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_add_nms_residual_color|pyramid=single,False,ok,18.5833,0.47588,0.8277,,17.094301821821826,,{'28.0': None},,256,0.03050518035888672,0.9218268394470215,0.9622883796691895
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add|pyramid=single,False,ok,18.6801,0.48349,0.82984,,17.329400272692663,,{'28.0': None},,256,0.030782461166381836,0.8975329399108887,0.9385173320770264
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms|pyramid=single,False,ok,18.7304,0.48525,0.8337,,17.508596000024827,,{'28.0': None},,256,0.03065347671508789,0.9084126949310303,0.9489681720733643
COCO_train2014_000000000034_160px,256,0,224,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,residual_tensor_add_nms_residual_color,single,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=residual_tensor_add_nms_residual_color|pyramid=single,False,ok,18.5714,0.47468,0.82764,,17.078287803520592,,{'28.0': None},,256,0.03146648406982422,0.9415655136108398,0.9876561164855957
COCO_train2014_000000000034_160px,256,0,256,256,aniso_flanking,central,luma,structure,wse,tensor,bilinear,spacing,none,none,normalized,l1,adam,none,none,pyramid,strategy=aniso_flanking|tensor=central|tensor_color=luma|density=structure|sampling=wse|orientation=tensor|color=bilinear|scale=spacing|scale_cap=none|opacity=none|renderer=normalized|loss=l1|optimizer=adam|lr_schedule=none|refine=none|pyramid=pyramid,False,ok,17.9646,0.41893,0.78482,,16.563073982626705,,{'28.0': None},,256,0.09305334091186523,1.2691009044647217,1.362154245376587
