budget,method,method_label,target_psnr,runs,hits,hit_rate,mean_iter,mean_seconds
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,26.0,12,8,0.6666666666666666,296.5,1.0513449013233185
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,28.0,12,6,0.5,448.6666666666667,1.6260828177134197
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,30.0,12,4,0.3333333333333333,315.25,1.2956403493881226
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,32.0,12,3,0.25,473.3333333333333,1.8504817485809326
all,structsplat_quadtree_wse_tensor_feature_rel,SS qt-WSE + tensor feature-rel cap,35.0,12,1,0.08333333333333333,379,1.539642572402954
2000,structsplat_onedge_residual,SS on-edge + residual,22.0,4,3,0.75,46.666666666666664,0.4888490041097005
2000,structsplat_onedge_residual,SS on-edge + residual,24.0,4,2,0.5,64,0.3852196931838989
2000,structsplat_onedge_residual,SS on-edge + residual,26.0,4,2,0.5,275,1.1872069835662842
2000,structsplat_onedge_residual,SS on-edge + residual,28.0,4,1,0.25,1034,3.7655587196350098
2000,structsplat_onedge_residual,SS on-edge + residual,30.0,4,0,0.0,,
2000,structsplat_onedge_residual,SS on-edge + residual,32.0,4,0,0.0,,
2000,structsplat_onedge_residual,SS on-edge + residual,35.0,4,0,0.0,,
2000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,22.0,4,3,0.75,68.33333333333333,0.3453497886657715
2000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,24.0,4,2,0.5,62,0.21430253982543945
2000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,26.0,4,1,0.25,942,2.5599634647369385
2000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,28.0,4,0,0.0,,
2000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,30.0,4,0,0.0,,
2000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,32.0,4,0,0.0,,
2000,structsplat_onedge_residual_featurecap,SS on-edge + residual feature cap,35.0,4,0,0.0,,
2000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,22.0,4,3,0.75,50,0.3129572073618571
2000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,24.0,4,2,0.5,62,0.25329530239105225
2000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,26.0,4,2,0.5,261,1.0424400568008423
2000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,28.0,4,0,0.0,,
2000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,30.0,4,0,0.0,,
2000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,32.0,4,0,0.0,,
2000,structsplat_onedge_residual_feature_rel,SS on-edge + residual feature-rel cap,35.0,4,0,0.0,,
2000,structsplat_onedge_tensor,SS on-edge + tensor,22.0,4,3,0.75,50,0.312130610148112
2000,structsplat_onedge_tensor,SS on-edge + tensor,24.0,4,2,0.5,64,0.38617992401123047
2000,structsplat_onedge_tensor,SS on-edge + tensor,26.0,4,2,0.5,262,1.0504456758499146
2000,structsplat_onedge_tensor,SS on-edge + tensor,28.0,4,2,0.5,1079,3.994736909866333
2000,structsplat_onedge_tensor,SS on-edge + tensor,30.0,4,0,0.0,,
2000,structsplat_onedge_tensor,SS on-edge + tensor,32.0,4,0,0.0,,
2000,structsplat_onedge_tensor,SS on-edge + tensor,35.0,4,0,0.0,,
2000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,22.0,4,3,0.75,68.33333333333333,0.3416408697764079
2000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,24.0,4,2,0.5,62,0.2159804105758667
2000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,26.0,4,0,0.0,,
2000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,28.0,4,0,0.0,,
2000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,30.0,4,0,0.0,,
2000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,32.0,4,0,0.0,,
2000,structsplat_onedge_tensor_featurecap,SS on-edge + tensor feature cap,35.0,4,0,0.0,,
2000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,22.0,4,3,0.75,55.333333333333336,0.3134628136952718
2000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,24.0,4,2,0.5,62,0.2554975748062134
2000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,26.0,4,2,0.5,253.5,1.0490143299102783
2000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,28.0,4,0,0.0,,
2000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,30.0,4,0,0.0,,
2000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,32.0,4,0,0.0,,
2000,structsplat_onedge_tensor_feature_rel,SS on-edge + tensor feature-rel cap,35.0,4,0,0.0,,
