adjoint_relative_error,artifacts,backend,baseline_allocated_bytes,baseline_reserved_bytes,cache_build_seconds,cache_bytes,cache_nnz,cell_id,cold_render_max_abs,execution_profile,family,forward_calls,iterations_run,lpips,maintained_parity_max_abs,ms_ssim,n_gaussians,peak_allocated_bytes,peak_reserved_bytes,psnr,raw_sse,repeat,seed,selected_iteration,selected_violation,status,timing_eligible,total_seconds,transpose_calls,worker_peak_rss_bytes
7.905066013336182e-06,"{""config.json"":""cells/smooth_s0_r3_csr/config.json"",""curves.png"":""cells/smooth_s0_r3_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r3_csr/error.png"",""field.npz"":""cells/smooth_s0_r3_csr/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r3_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r3_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r3_csr/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r3_csr/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r3_csr/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r3_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r3_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r3_csr/target.npy"",""target.png"":""cells/smooth_s0_r3_csr/target.png""}",csr,0,33554432,0.0026704810006776825,3282744,131271,smooth_s0_r3_csr,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08873005956411362,2.384185791015625e-07,0.9241204261779785,144,18533888,33554432,26.2314165865692,117.05757835907822,3,0,43,14.278764718147066,ok,false,0.11930176999885589,51,1307144192
5.3942203521728516e-06,"{""config.json"":""cells/smooth_s0_r3_off/config.json"",""curves.png"":""cells/smooth_s0_r3_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r3_off/error.png"",""field.npz"":""cells/smooth_s0_r3_off/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r3_off/history.json"",""input_field.npz"":""cells/smooth_s0_r3_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r3_off/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r3_off/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r3_off/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r3_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r3_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r3_off/target.npy"",""target.png"":""cells/smooth_s0_r3_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r3_off,1.7881393432617188e-07,shared_correctness,smooth,99,48,0.08872982859611511,2.384185791015625e-07,0.9241204857826233,144,14045696,33554432,26.231416567746315,117.05757886642094,3,0,41,14.278764718147066,ok,false,0.268478366000636,51,1317904384
6.3478946685791016e-06,"{""config.json"":""cells/smooth_s0_r4_csr/config.json"",""curves.png"":""cells/smooth_s0_r4_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r4_csr/error.png"",""field.npz"":""cells/smooth_s0_r4_csr/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r4_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r4_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r4_csr/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r4_csr/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r4_csr/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r4_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r4_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r4_csr/target.npy"",""target.png"":""cells/smooth_s0_r4_csr/target.png""}",csr,0,33554432,0.0027434889998403378,3282744,131271,smooth_s0_r4_csr,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08873151987791061,2.384185791015625e-07,0.9241206645965576,144,18533888,33554432,26.231416589984143,117.05757826703355,4,0,43,14.278764718147066,ok,false,0.11990434499966796,51,1332604928
1.4003366231918335e-05,"{""config.json"":""cells/smooth_s0_r4_off/config.json"",""curves.png"":""cells/smooth_s0_r4_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r4_off/error.png"",""field.npz"":""cells/smooth_s0_r4_off/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r4_off/history.json"",""input_field.npz"":""cells/smooth_s0_r4_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r4_off/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r4_off/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r4_off/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r4_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r4_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r4_off/target.npy"",""target.png"":""cells/smooth_s0_r4_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r4_off,1.7881393432617188e-07,shared_correctness,smooth,99,48,0.0887226015329361,2.384185791015625e-07,0.9241207242012024,144,14045696,33554432,26.23141657921476,117.05757855730616,4,0,42,14.278764718147066,ok,false,0.272269231001701,51,1330319360
3.5688281059265137e-06,"{""config.json"":""cells/smooth_s0_r4_scatter/config.json"",""curves.png"":""cells/smooth_s0_r4_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r4_scatter/error.png"",""field.npz"":""cells/smooth_s0_r4_scatter/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r4_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r4_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r4_scatter/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r4_scatter/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r4_scatter/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r4_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r4_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r4_scatter/target.npy"",""target.png"":""cells/smooth_s0_r4_scatter/target.png""}",scatter,0,33554432,0.0013463379982567858,2625420,131271,smooth_s0_r4_scatter,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08873233199119568,2.384185791015625e-07,0.9241205453872681,144,12248064,33554432,26.23141660166931,117.05757795207734,4,0,43,14.278764718147066,ok,false,0.12394282300010673,51,1328513024
7.525086402893066e-06,"{""config.json"":""cells/smooth_s0_r5_csr/config.json"",""curves.png"":""cells/smooth_s0_r5_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r5_csr/error.png"",""field.npz"":""cells/smooth_s0_r5_csr/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r5_csr/history.json"",""input_field.npz"":""cells/smooth_s0_r5_csr/input_field.npz"",""mask.npy"":""cells/smooth_s0_r5_csr/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r5_csr/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r5_csr/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r5_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r5_csr/reconstruction.png"",""target.npy"":""cells/smooth_s0_r5_csr/target.npy"",""target.png"":""cells/smooth_s0_r5_csr/target.png""}",csr,0,33554432,0.0027162799997313414,3282744,131271,smooth_s0_r5_csr,1.7881393432617188e-07,shared_correctness,smooth,99,48,0.08871983736753464,2.384185791015625e-07,0.9241205453872681,144,18533888,33554432,26.231416632502103,117.05757712102553,5,0,42,14.278764718147066,ok,false,0.12120090299868025,51,1342746624
1.1920928955078125e-06,"{""config.json"":""cells/smooth_s0_r5_scatter/config.json"",""curves.png"":""cells/smooth_s0_r5_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r5_scatter/error.png"",""field.npz"":""cells/smooth_s0_r5_scatter/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r5_scatter/history.json"",""input_field.npz"":""cells/smooth_s0_r5_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s0_r5_scatter/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r5_scatter/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r5_scatter/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r5_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r5_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s0_r5_scatter/target.npy"",""target.png"":""cells/smooth_s0_r5_scatter/target.png""}",scatter,0,33554432,0.001337593999778619,2625420,131271,smooth_s0_r5_scatter,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08873247355222702,2.384185791015625e-07,0.9241208434104919,144,12248064,33554432,26.231416614924946,117.05757759479158,5,0,46,14.278764718147066,ok,false,0.12271038700055215,51,1343725568
5.234032869338989e-06,"{""config.json"":""cells/smooth_s0_r5_off/config.json"",""curves.png"":""cells/smooth_s0_r5_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s0_r5_off/error.png"",""field.npz"":""cells/smooth_s0_r5_off/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s0_r5_off/history.json"",""input_field.npz"":""cells/smooth_s0_r5_off/input_field.npz"",""mask.npy"":""cells/smooth_s0_r5_off/mask.npy"",""occupancy_after.json"":""cells/smooth_s0_r5_off/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s0_r5_off/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s0_r5_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s0_r5_off/reconstruction.png"",""target.npy"":""cells/smooth_s0_r5_off/target.npy"",""target.png"":""cells/smooth_s0_r5_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s0_r5_off,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.08873366564512253,2.980232238769531e-07,0.9241206049919128,144,14045696,33554432,26.231416627438527,117.0575772575067,5,0,46,14.278764718147066,ok,false,0.26844011999855866,51,1302695936
5.885958671569824e-06,"{""config.json"":""cells/smooth_s1_r0_off/config.json"",""curves.png"":""cells/smooth_s1_r0_off/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s1_r0_off/error.png"",""field.npz"":""cells/smooth_s1_r0_off/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s1_r0_off/history.json"",""input_field.npz"":""cells/smooth_s1_r0_off/input_field.npz"",""mask.npy"":""cells/smooth_s1_r0_off/mask.npy"",""occupancy_after.json"":""cells/smooth_s1_r0_off/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s1_r0_off/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s1_r0_off/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s1_r0_off/reconstruction.png"",""target.npy"":""cells/smooth_s1_r0_off/target.npy"",""target.png"":""cells/smooth_s1_r0_off/target.png""}",off,0,33554432,0.0,0,0,smooth_s1_r0_off,1.1920928955078125e-07,shared_correctness,smooth,99,48,0.07628153264522552,2.384185791015625e-07,0.9419741630554199,144,14036992,33554432,27.11037572562546,95.6100667626418,0,1,47,15.843574057267265,ok,false,0.26954865500010783,51,1307222016
1.1049211025238037e-05,"{""config.json"":""cells/smooth_s1_r0_scatter/config.json"",""curves.png"":""cells/smooth_s1_r0_scatter/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s1_r0_scatter/error.png"",""field.npz"":""cells/smooth_s1_r0_scatter/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s1_r0_scatter/history.json"",""input_field.npz"":""cells/smooth_s1_r0_scatter/input_field.npz"",""mask.npy"":""cells/smooth_s1_r0_scatter/mask.npy"",""occupancy_after.json"":""cells/smooth_s1_r0_scatter/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s1_r0_scatter/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s1_r0_scatter/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s1_r0_scatter/reconstruction.png"",""target.npy"":""cells/smooth_s1_r0_scatter/target.npy"",""target.png"":""cells/smooth_s1_r0_scatter/target.png""}",scatter,0,33554432,0.0013308989982760977,2618000,130900,smooth_s1_r0_scatter,1.7881393432617188e-07,shared_correctness,smooth,99,48,0.07628169655799866,2.980232238769531e-07,0.9419742226600647,144,12239360,33554432,27.110375757344663,95.61006606434245,0,1,43,15.843574057267265,ok,false,0.12406712899974082,51,1335025664
1.1324882507324219e-06,"{""config.json"":""cells/smooth_s1_r0_csr/config.json"",""curves.png"":""cells/smooth_s1_r0_csr/curves.png"",""decision"":""decision.json"",""error.png"":""cells/smooth_s1_r0_csr/error.png"",""field.npz"":""cells/smooth_s1_r0_csr/field.npz"",""gpu_occupancy"":""gpu_occupancy.jsonl"",""history.json"":""cells/smooth_s1_r0_csr/history.json"",""input_field.npz"":""cells/smooth_s1_r0_csr/input_field.npz"",""mask.npy"":""cells/smooth_s1_r0_csr/mask.npy"",""occupancy_after.json"":""cells/smooth_s1_r0_csr/occupancy_after.json"",""occupancy_before.json"":""cells/smooth_s1_r0_csr/occupancy_before.json"",""reconstruction.npy"":""cells/smooth_s1_r0_csr/reconstruction.npy"",""reconstruction.png"":""cells/smooth_s1_r0_csr/reconstruction.png"",""target.npy"":""cells/smooth_s1_r0_csr/target.npy"",""target.png"":""cells/smooth_s1_r0_csr/target.png""}",csr,0,33554432,0.002654522002558224,3273840,130900,smooth_s1_r0_csr,1.7881393432617188e-07,shared_correctness,smooth,99,48,0.07628023624420166,2.384185791015625e-07,0.9419741630554199,144,16776192,33554432,27.110375725730137,95.61006676033728,0,1,40,15.843574057267265,ok,false,0.12058302299919887,51,1341431808
