image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,iters_to_target,n_gaussians,init_seconds,fit_seconds
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,33.1338,0.94342,0.98565,,,5000,1.2760157585144043,24.011844396591187
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,quadtree_aggregate,quadtree_aggregate,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,33.0574,0.94349,0.98568,,,5000,0.18156671524047852,23.519171476364136
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,33.3657,0.94599,0.9868,,,5000,1.0394082069396973,23.46572780609131
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,33.6387,0.94494,0.98689,,,5000,2.242086172103882,22.975554943084717
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.5,0.02,0.15,6.0,1.0,26.0881,0.92835,0.96718,,,5000,0.5074782371520996,22.43550181388855
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,density_random,iso_blue_noise,density_random,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,31.6456,0.94002,0.98235,,,5000,0.03871345520019531,24.42687439918518
kodim07,results/datasets/abl004/kodak24/kodim07.png,512,768,768,random_relocate,random,wse,relocate,750,64,1500,35.0,[35.0],512,cuda,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,27.9194,0.91935,0.97112,,,5000,0.0024139881134033203,25.21297788619995
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,random,random,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,27.9014,0.8611,0.95428,,,2000,0.0013990402221679688,28.007229804992676
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,grid,grid,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,28.2915,0.86746,0.95928,,,2000,0.0014600753784179688,24.83613133430481
kodim10,results/datasets/abl004/kodak24/kodim10.png,768,512,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,[35.0],512,cuda,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,29.9127,0.87564,0.96053,,,2000,0.2869758605957031,25.201876163482666
