frame,view_id,disposition,target_reached,stage_protected_safe,original_base_protected_safe,outside_exact_zero,error_prefix_exact,error_only_added_rows,pursuit_only_added_rows,sequential_pursuit_added_rows,combined_tail_added_rows,adjusted_highpass_target,adjusted_laplacian_target,combined_highpass_reduction,combined_laplacian_reduction,incremental_highpass_reduction,incremental_laplacian_reduction,error_only_foreground_psnr_gain_db,combined_foreground_psnr_gain_db,combined_minus_error_foreground_psnr_db,foreground_gain_retention_fraction,seconds_new_stage,termination_reason
frame_00008,C0037,pursuit_executed,True,True,True,True,True,6656,640,256,6912,0.12007887557536578,0.045527493009029474,0.25783327311390036,0.26885212155480276,0.12926909222377714,0.12767431434910392,3.587437856714317,3.618938611331089,0.03150075461677204,1.0087808502543993,7.042981586419046,targets_reached
frame_00008,C0039,pursuit_executed,True,True,True,True,True,2560,256,128,2688,0.1507913903242869,0.019246594948467255,0.25757784211859247,0.3194490497603464,0.1593716153507828,0.1656841728017543,4.490900313241401,4.530445080498318,0.03954476725691691,1.0088055321870137,7.648327163420618,targets_reached
frame_00008,C1000,pursuit_executed,True,True,True,True,True,5632,256,128,5760,0.114983750052015,0.007059880200289581,0.2742668599226241,0.28813530204454674,0.1436191705409935,0.1164512269136595,3.1016896206683775,3.150577345380121,0.04888772471174363,1.0157616430689829,5.050285384058952,targets_reached
frame_00008,C1001,pursuit_executed,True,True,True,True,True,4232,384,128,4360,0.034094594274886036,0.0,0.30108963060437954,0.3468261702165545,0.09989159477791187,0.10770079873502014,3.108018949050198,3.122632761390747,0.01461381234054926,1.0047019701553026,12.185634459368885,targets_reached
frame_00008,C1002,pursuit_executed,True,True,True,True,True,2377,256,128,2505,0.15481481452494794,0.0,0.3405821396339226,0.42529571761258256,0.2568930578412465,0.24157872915871526,3.516869782244477,3.540161035834476,0.023291253589999172,1.0066227227711384,2.7232734616845846,targets_reached
frame_00008,C1004,already_satisfied,True,False,True,True,True,5216,256,0,5216,0.0,0.0,0.252749405593541,0.24137920940510127,0.0,0.0,3.557065202294705,3.557065202294705,0.0,1.0,0.0,already_satisfied_cumulative_target
frame_00009,C0001,pursuit_executed,True,True,True,True,True,4096,256,128,4224,0.14272428692755978,0.060932102092788876,0.2940632196418095,0.31244545546670455,0.1930900576458261,0.1929244989607104,3.0430784605079992,3.087024761071774,0.0439463005637748,1.0144413958214007,6.099113238975406,targets_reached
frame_00009,C0004,pursuit_executed,True,True,True,True,True,6144,384,128,6272,0.0688146947805437,0.0,0.30644411712858843,0.3110156759516115,0.1388946046955134,0.13239787006920567,4.191481333175634,4.226713580498082,0.03523224732244756,1.008405679167311,5.608896882273257,targets_reached
frame_00009,C0005,pursuit_executed,True,True,True,True,True,7680,512,128,7808,0.09432931901908426,0.04223392285182426,0.2733744337931425,0.2643833229231962,0.12255537151372253,0.11931412613921666,3.1694725910062793,3.2045274484703405,0.03505485746406123,1.0110601547915363,6.09601922146976,targets_reached
frame_00009,C0006,pursuit_executed,True,True,True,True,True,7680,768,640,8320,0.23105722455988664,0.1748146321006978,0.2589662121038081,0.24893206351709551,0.24024989658693596,0.2252871606449809,3.7785301291570796,3.8620664499609987,0.08353632080391904,1.02210815262774,7.7450646022334695,targets_reached
frame_00009,C0008,pursuit_executed,True,True,True,True,True,6144,384,256,6400,0.14654967620310044,0.07915793967864582,0.27300336717109275,0.2941694050632102,0.17272598441721787,0.1875518759006991,3.5683324921488655,3.619717713241023,0.05138522109215771,1.0144003455970587,5.7860297951847315,targets_reached
frame_00009,C0009,already_satisfied,True,False,True,True,True,7168,256,0,7168,0.0,0.0,0.27144351464435146,0.2714973361943144,0.0,0.0,3.60381465668981,3.60381465668981,0.0,1.0,0.0,already_satisfied_cumulative_target
frame_00009,C0012,pursuit_executed,True,True,True,True,True,6656,384,128,6784,0.10545826073786613,0.05447643155372828,0.2667072579979366,0.2436463881936073,0.12538538024156665,0.10606229244699172,4.052935077209369,4.112549967442465,0.05961489023309596,1.0147090661699283,5.30797837395221,targets_reached
frame_00009,C0014,pursuit_executed,True,True,True,True,True,6144,384,256,6400,0.12013401248055167,0.053829526887557044,0.2776729733554496,0.27037293172962307,0.152598689852541,0.13706051452371604,4.534856223613964,4.590546987584592,0.055690763970627444,1.0122806019032387,5.970165346749127,targets_reached
frame_00009,C0018,pursuit_executed,True,True,True,True,True,5632,512,256,5888,0.21220196572770889,0.19559377489965069,0.275255573662313,0.23181251047699103,0.23873035410849464,0.22758150172935288,4.0496848547685715,4.133686783070225,0.0840019283016531,1.0207428309397308,5.548494006507099,targets_reached
frame_00009,C0019,pursuit_executed,True,True,True,True,True,5632,512,512,6144,0.1785111105856272,0.10291493541328811,0.2617109861695641,0.2867787331150091,0.19133837061547032,0.20022481716482687,4.912091152803374,5.018067628646268,0.10597647584289405,1.0215746150765976,6.51618362031877,targets_reached
frame_00009,C0020,pursuit_executed,True,True,True,True,True,6656,256,128,6784,0.10337705935946906,0.0813126613238997,0.2619921232023046,0.22575584323316833,0.1177136097197008,0.11088962016794757,3.917356325943686,3.9600296445210788,0.04267331857739265,1.0108933972370033,6.046215462498367,targets_reached
frame_00009,C0021,pursuit_executed,True,True,True,True,True,6656,512,128,6784,0.08003818587263278,0.0,0.2538314247624246,0.28269243242689657,0.08473787183947634,0.07770445828249328,3.5090753992815884,3.5372842019882214,0.02820880270663295,1.0080388135040952,6.343186888843775,targets_reached
frame_00009,C0022,pursuit_executed,True,True,True,True,True,7168,640,640,7808,0.22566021989916374,0.1704235294915719,0.2590246405862888,0.26928605701748276,0.2349777375085983,0.2422711327865833,2.7245162373530007,2.7958026823047426,0.07128644495174186,1.0261648082600527,6.8288669139146805,targets_reached
frame_00009,C0025,pursuit_executed,True,True,True,True,True,5632,512,256,5888,0.1583760552009048,0.1073552923804384,0.25106849854002034,0.25042373466748846,0.15957508714259017,0.1636183922421217,4.217597489209311,4.28362215163407,0.06602466242475913,1.0156545669883583,5.99742098338902,targets_reached
frame_00009,C0026,pursuit_executed,True,True,True,True,True,5632,640,512,6144,0.16854627350770568,0.07773737126258018,0.2618117836612479,0.29396673873872736,0.18164087556325947,0.18606488561640655,3.2376769396867715,3.3089111066739108,0.07123416698713925,1.0220016290427145,6.8428436471149325,targets_reached
frame_00009,C0028,pursuit_executed,True,True,True,True,True,6144,384,256,6400,0.11347707361526393,0.087792082581712,0.27677606263745913,0.2461073835543356,0.1451271981571589,0.14036648299384547,3.3647259138933556,3.40281649352578,0.03809057963242424,1.0113205594176762,6.0905346451327205,targets_reached
frame_00009,C0029,pursuit_executed,True,True,True,True,True,5632,1664,1408,7040,0.21843874008453956,0.15030185187354317,0.25322749264139355,0.2656262751360329,0.2218020510381068,0.22000500743794882,2.942672806504877,3.0191903874350636,0.07651758093018657,1.026002748508445,8.112129041925073,targets_reached
frame_00009,C0030,pursuit_executed,True,True,True,True,True,7168,896,512,7680,0.15711820786415975,0.10503563556692075,0.26900939380451816,0.2686464763018125,0.17848177042065072,0.18183082310944831,3.9332095290470512,4.022199698853427,0.08899016980637597,1.0226253315896794,7.222333551384509,targets_reached
frame_00009,C0031,pursuit_executed,True,True,True,True,True,5632,256,128,5760,0.09304644831648645,0.010846587203095615,0.2570205045702767,0.26466718763007646,0.10153614372265019,0.09080379887843071,3.474671320701475,3.518654059715054,0.043982739013578964,1.0126581005666746,11.335551274009049,targets_reached
frame_00009,C0034,pursuit_executed,True,True,True,True,True,4608,512,384,4992,0.18717260958569581,0.12244886614837913,0.2583548805421627,0.24733601577346165,0.1962273772501083,0.17437358404090353,3.0043698477850853,3.1009104645990533,0.09654061681396797,1.0321333995829909,6.666655535809696,targets_reached
frame_00009,C0037,pursuit_executed,True,True,True,True,True,6144,640,256,6400,0.17721148575842505,0.11313262419626324,0.2924783674897573,0.28174680465557056,0.22381243625749836,0.2037558418527965,2.491009999361367,2.5390712443407324,0.04806124497936537,1.019293878784785,5.633038933388889,targets_reached
frame_00009,C0039,already_satisfied,True,False,True,True,True,3385,384,0,3385,0.0,0.0,0.5018465723561922,0.5407302916388053,0.0,0.0,5.123189783841916,5.123189783841916,0.0,1.0,0.0,already_satisfied_cumulative_target
frame_00009,C1000,pursuit_executed,True,True,True,True,True,7168,512,128,7296,0.08302724663743966,0.016320381789412308,0.3098882670473333,0.3177604548289952,0.15624845880878035,0.1611185808475264,3.638174221712962,3.67019811058427,0.032023888871307804,1.0088021867342654,5.76191552169621,targets_reached
frame_00009,C1001,pursuit_executed,True,True,True,True,True,7680,384,128,7808,0.04387515677263243,0.0,0.3276670661512463,0.32103197516998827,0.14288770536968565,0.11739401624561407,3.652813921870198,3.6859729945731488,0.03315907270295071,1.0090776791296212,6.481635806150734,targets_reached
frame_00009,C1002,pursuit_executed,True,True,True,True,True,2759,256,128,2887,0.10437664068534647,0.0,0.2897727523062702,0.3664745663801594,0.15187184872498838,0.1205644973439135,4.0520706098259005,4.075488855135667,0.02341824530976666,1.005779328043539,3.5148040847852826,targets_reached
frame_00009,C1004,already_satisfied,True,False,True,True,True,5520,256,0,5520,0.0,0.0,0.30541351381409254,0.29427095277760285,0.0,8.418625940809221e-08,2.912843130332295,2.912843130332295,0.0,1.0,0.0,already_satisfied_cumulative_target
