image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,color_solve_every,color_solve_lambda,color_solve_maxiter,early_exit,early_exit_window,early_exit_min_delta,early_exit_min_iters,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,aniso_onedge,aniso_onedge,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.7117,0.86883,0.96999,,30.75161500636466,observed,,2000,500,False,,0.309783935546875,0.7938179969787598
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,aniso_flanking,aniso_flanking,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,31.7023,0.86979,0.9702,,30.65715870446337,observed,,2000,500,False,,0.3166632652282715,0.8156719207763672
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,quadtree_aggregate,quadtree_aggregate,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.5962,0.86689,0.96886,,30.462733788576298,observed,,2000,500,False,,0.04542803764343262,0.7928180694580078
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,quadtree_hybrid,quadtree_hybrid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.946,0.87434,0.97233,,30.786965977930592,observed,,2000,500,False,,0.2920410633087158,0.7923579216003418
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,quadtree_wse,quadtree_wse,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.9914,0.87083,0.97145,,30.792735302376602,observed,,2000,500,False,,0.5887289047241211,0.8176865577697754
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,32.001,0.87159,0.9723,,30.70096455308383,observed,,2000,500,False,,0.11618494987487793,0.7835993766784668
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,density_random,iso_blue_noise,density_random,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.7141,0.86226,0.96887,,30.242858177674318,observed,,2000,500,False,,0.007866144180297852,0.8113901615142822
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,random_relocate,random,wse,relocate,250,64,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.0013,0.87348,0.97356,,29.26276040889457,observed,,2000,500,False,,0.0006978511810302734,0.790642499923706
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,random,random,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,34.8021,0.93775,0.99017,,32.550441631095445,observed,,5000,500,False,,0.0017347335815429688,0.7937397956848145
kodim04,results/datasets/abl004/kodak24/kodim04.png,384,256,384,grid,grid,wse,none,,,500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,5000,0,0.0,0.02,0.15,6.0,1.0,34.9639,0.9396,0.99068,,32.7433102517902,observed,,5000,500,False,,0.0017025470733642578,0.8082616329193115
