image,source_path,height,width,max_side,strategy,init_strategy,sampling_mode,fit_control,relocate_every,relocate_count,iters,target_psnr,target_psnrs,render_chunk,renderer,color_solve_every,color_solve_lambda,color_solve_maxiter,early_exit,early_exit_window,early_exit_min_delta,early_exit_min_iters,pixel_loss,ssim_weight,compute_lpips,budget,seed,flank_offset_frac,flat_frac,corner_frac,max_axis_ratio,coherence_power,psnr,ssim,ms_ssim,lpips,auc_psnr,auc_psnr_horizon,iters_to_target,n_gaussians,iterations_run,stopped_early,stopped_at,init_seconds,fit_seconds
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.0506,0.81534,0.93491,,31.016375863607763,observed,,2000,1500,False,,0.6295363903045654,5.577737808227539
kodim02,results/datasets/abl004/kodak24/kodim02.png,512,768,768,quadtree_wse,quadtree_wse,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,31.3016,0.81594,0.93681,,31.030697127832738,observed,,2000,1500,False,,0.626610517501831,5.433263301849365
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,31.3968,0.88099,0.96109,,31.611390589713412,observed,,2000,1500,False,,0.3796675205230713,6.091644287109375
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,aniso_flanking,aniso_flanking,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,31.7705,0.88166,0.963,,31.440809349126223,observed,,2000,1500,False,,0.3316328525543213,5.507115602493286
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.701,0.88167,0.96233,,31.634369766179365,observed,,2000,1500,False,,0.3111395835876465,5.487982988357544
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,aniso_onedge,aniso_onedge,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,29.9685,0.87873,0.9573,,31.20103342808271,observed,,2000,1500,False,,0.3711681365966797,4.8877174854278564
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.5,0.02,0.15,6.0,1.0,25.3205,0.86009,0.92907,,27.92354226382754,observed,,2000,1500,False,,0.42670369148254395,5.060394763946533
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,floyd_steinberg,aniso_flanking,floyd_steinberg,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.5,0.02,0.15,6.0,1.0,27.1483,0.86755,0.94361,,27.908417790153965,observed,,2000,1500,False,,0.44615960121154785,5.0738255977630615
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,30.0946,0.87824,0.9581,,30.9228188888163,observed,,2000,1500,False,,0.22831130027770996,4.71496844291687
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,iso_blue_noise,iso_blue_noise,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,1,0.0,0.02,0.15,6.0,1.0,29.9199,0.87731,0.95806,,30.882648941355598,observed,,2000,1500,False,,0.22731328010559082,4.956353187561035
kodim03,results/datasets/abl004/kodak24/kodim03.png,512,768,768,quadtree_hybrid,quadtree_hybrid,wse,none,,,1500,35.0,"[28.0, 30.0, 32.0, 35.0]",512,cuda,,0.0001,32,False,150,,,l1,0.3,False,2000,0,0.0,0.02,0.15,6.0,1.0,31.5195,0.88061,0.96251,,31.633750345485858,observed,,2000,1500,False,,0.3186337947845459,5.160720109939575
