scope,value,pairs,d_psnr_mean,d_psnr_median,d_psnr_min,d_psnr_max,psnr_wins,d_ms_ssim_mean,d_ms_ssim_median,d_ms_ssim_min,d_ms_ssim_max,ms_ssim_wins,d_edge_mae_mean,d_edge_mae_median,d_edge_mae_min,d_edge_mae_max,edge_mae_wins,d_auc_psnr_mean,d_auc_psnr_median,d_auc_psnr_min,d_auc_psnr_max,auc_psnr_wins,d_fit_seconds_mean,d_fit_seconds_median,d_fit_seconds_min,d_fit_seconds_max,fit_seconds_wins,d_total_seconds_mean,d_total_seconds_median,d_total_seconds_min,d_total_seconds_max,total_seconds_wins,d_iterations_run_mean,d_iterations_run_median,d_iterations_run_min,d_iterations_run_max,iterations_run_wins
refine_twin/budget,2000,8,-0.7767874999999997,-0.7051999999999996,-2.000399999999999,0.3172999999999994,2,-0.03435124999999997,-0.029769999999999998,-0.07181,-0.01812,0,0.005887374999999962,0.0051874999999999005,-0.001727,0.015876,2,-1.945802853376248,-2.081102088739902,-3.0307835762782247,-0.9999371300227152,0,-0.041924148797988905,-0.0997503995895386,-0.3842346668243408,0.4421160221099853,4,-0.40002620220184315,-0.41171836853027344,-0.9760520458221436,0.0920362472534179,2,0.0,0.0,0,0,0
refine_twin/budget,5000,8,-0.1305874999999994,0.031600000000001,-1.0046999999999997,0.6625999999999976,4,-0.013496249999999987,-0.010139999999999951,-0.03433,0.00187,2,0.00018912499999999995,-0.00090399999999995,-0.001549,0.0030139999999999,5,-2.0394696767843916,-1.5470858873567082,-3.735931126732602,-1.1946174718285505,0,0.029238939285278417,0.0348711013793949,-0.6666686534881592,0.6076011657714844,5,-0.7242480516433715,-0.5627783536911011,-1.4388644695281982,-0.1966006755828848,0,0.0,0.0,0,0,0
pyramid_frac10_cosine/strategy,aniso_onedge,8,0.5731249999999997,0.17279999999999868,-0.1179000000000023,2.922699999999999,6,0.006308749999999976,0.00398999999999995,-0.00112,0.01831,7,0.0029262499999999376,0.00346499999999995,0.000591,0.004318,0,-2.9900488859816656,-2.8885468453705663,-5.32798539327732,-1.359628298188781,0,0.1408410370349884,0.21078252792358393,-0.4264006614685058,0.6752023696899414,5,0.06225582957267761,0.2154767513275146,-0.9535906314849854,0.6642119884490967,5,0.0,0.0,0,0,0
pyramid_frac10_cosine/strategy,quadtree_wse,8,0.3150875000000011,0.077300000000001,-0.6252999999999993,3.2255000000000003,5,0.005599999999999987,0.00421999999999995,-0.0036,0.01946,7,0.00386499999999995,0.00367149999999995,0.000387,0.008865,0,-3.1414066039378685,-2.997765259873159,-5.489749229614386,-1.3776733514227146,0,0.15051352977752686,0.303989291191101,-0.877730131149292,0.8390989303588867,5,0.08451443910598766,0.100699782371521,-0.93375825881958,0.7444436550140381,4,0.0,0.0,0,0,0
pyramid_fullfield_iters/strategy,aniso_onedge,8,0.02201249999999933,-0.05590000000000115,-0.6117000000000026,1.3793999999999969,2,0.0015287499999999626,0.0028499999999999004,-0.01756,0.01229,6,0.0012944999999999498,0.0014864999999999,-0.001905,0.0040369999999999,1,-1.508588309022453,-1.0564791970354879,-3.2137956590738384,-0.8092229991962441,0,5.194860935211182,5.22766137123108,4.058829069137573,6.115257501602173,8,5.086854308843613,5.211054801940919,3.5672709941864014,5.893885850906372,8,1500.0,1500.0,1500,1500,8
pyramid_fullfield_iters/strategy,quadtree_wse,8,0.13677500000000137,0.0623000000000022,-0.4307999999999978,1.0655,6,0.0055449999999999874,0.00704999999999995,-0.0040799999999999,0.01019,7,0.0008668749999999751,0.0005719999999999499,-0.00109,0.00358,2,-1.6346742653953177,-1.4615371063776301,-3.2371155388185464,-0.6289698728318633,0,5.267589181661606,5.475128531455995,4.454249858856201,5.60287022590637,8,5.267721593379974,5.493035197257996,4.45616340637207,5.663256883621218,8,1500.0,1500.0,1500,1500,8
pyramid_split_1500/strategy,aniso_onedge,8,0.9693499999999999,0.9755500000000001,0.2788000000000004,2.0162000000000013,8,0.013733749999999939,0.01346999999999995,0.0041899999999999,0.02046,8,-0.0005321249999999877,-0.0005864999999999,-0.0022,0.001541,6,-1.2892951222560343,-1.118378730198792,-2.73912641602886,-0.7472261087826055,0,0.20365840196609497,0.14445114135742185,-0.1465513706207275,0.5371484756469727,7,0.11531773209571826,0.13804757595062206,-0.7009561061859131,0.4908421039581299,6,0.0,0.0,0,0,0
pyramid_split_1500/strategy,quadtree_wse,8,1.0307375000000008,0.514800000000001,0.1245000000000011,4.370900000000002,8,0.014246249999999974,0.0120949999999999,0.00381,0.03269,8,-0.0005912499999999874,-0.0002584999999999996,-0.0053249999999999,0.0011429999999999,5,-1.418684974282959,-1.1779621778288387,-2.9530910010970857,-0.6971439612237802,0,0.2960748076438904,0.31065165996551514,-0.2500202655792236,0.9711308479309082,5,0.2646279335021975,0.23332500457763714,-0.2637715339660644,0.8860883712768555,6,0.0,0.0,0,0,0
refine_twin/strategy,aniso_onedge,8,-0.3526625000000001,-0.06900000000000084,-2.000399999999999,0.6625999999999976,4,-0.021824999999999976,-0.021900000000000003,-0.04962,0.00187,1,0.00302225,0.00080300000000005,-0.001549,0.015876,4,-1.928831469463936,-1.536137226504275,-3.499952717094601,-1.0346752246910107,0,0.0034744441509247694,0.02072489261627235,-0.3669717311859131,0.4852151870727539,5,-0.48179093003273,-0.49360549449920654,-1.0303282737731934,0.054736852645874,1,0.0,0.0,0,0,0
refine_twin/strategy,quadtree_wse,8,-0.554712499999999,-0.3979999999999997,-1.9896999999999991,0.3172999999999994,2,-0.02602249999999999,-0.02312499999999995,-0.07181,0.00021,1,0.0030542499999999624,0.0023764999999999,-0.001727,0.0130639999999999,3,-2.0564410606967036,-2.081102088739902,-3.735931126732602,-0.9999371300227152,0,-0.016159653663635264,-0.10910177230834965,-0.6666686534881592,0.6076011657714844,4,-0.6424833238124846,-0.5726844072341919,-1.4388644695281982,0.0920362472534179,1,0.0,0.0,0,0,0
