image,budget,seed,strategy,psnr_arm,ms_ssim_arm,edge_mae_arm,auc_psnr_arm,fit_seconds_arm,total_seconds_arm,iterations_run_arm,init_seconds_arm,psnr_single,ms_ssim_single,edge_mae_single,auc_psnr_single,fit_seconds_single,total_seconds_single,iterations_run_single,init_seconds_single,d_psnr,d_ms_ssim,d_edge_mae,d_auc_psnr,d_fit_seconds,d_total_seconds,d_iterations_run,d_init_seconds,arm
kodim13,5000,0,aniso_onedge,22.6886,0.89606,0.072652,21.223221249545396,5.255638599395752,6.075949907302856,1500,0.8203113079071045,22.4098,0.88515,0.071843,22.306260532661625,5.054528474807739,5.920515537261963,1500,0.8608808517456055,0.2788000000000004,0.010909999999999975,0.0008089999999999903,-1.0830392831162285,0.2011101245880127,0.15543437004089267,0,-0.04056954383850098,pyramid_split_1500
kodim13,5000,0,quadtree_wse,22.6587,0.89507,0.072789,21.1808876994453,5.765066862106323,7.034983158111572,1500,1.269916296005249,22.5342,0.8817,0.071954,22.362625232134125,4.793936014175415,6.148894786834717,1500,1.3512227535247805,0.12450000000000117,0.013369999999999993,0.0008350000000000024,-1.1817375326888246,0.9711308479309082,0.8860883712768555,0,-0.08130645751953147,pyramid_split_1500
kodim19,2000,0,aniso_onedge,27.8494,0.92646,0.04083,25.650596739531675,5.424733400344849,5.799237489700317,1500,0.3745040893554687,26.3971,0.91357,0.042944,27.00616674887649,5.33757209777832,5.678576707839966,1500,0.3358008861541748,1.452300000000001,0.012889999999999957,-0.0021140000000000048,-1.355570009344813,0.08716130256652832,0.12066078186035156,0,0.03870320320129389,pyramid_split_1500
kodim19,2000,0,quadtree_wse,27.7448,0.92427,0.041537,25.561646351423004,5.428826332092285,6.064196586608887,1500,0.6353702545166016,27.3506,0.91544,0.040552,27.23501476532145,5.438495397567749,6.046844244003296,1500,0.6030752658843994,0.39420000000000144,0.008830000000000005,0.0009849999999999998,-1.6733684138984444,-0.009669065475463867,0.01735234260559082,0,0.03229498863220215,pyramid_split_1500
kodim19,5000,0,aniso_onedge,31.2694,0.96402,0.026271,28.481836955176743,6.1327784061431885,7.107537269592285,1500,0.9747588634490968,30.045,0.95238,0.027299,29.83786584537295,6.12729287147522,7.164724349975586,1500,1.0310263633728027,1.2243999999999993,0.011639999999999984,-0.0010280000000000011,-1.3560288901962068,0.00548553466796875,-0.05718708038330078,0,-0.056267499923705944,pyramid_split_1500
kodim19,5000,0,quadtree_wse,31.252,0.96437,0.026279,28.387359114628463,5.93076491355896,7.214878559112549,1500,1.2841136455535889,30.2945,0.95355,0.026776,30.03922332422665,6.180785179138184,7.478650093078613,1500,1.2917628288269043,0.9574999999999996,0.01081999999999994,-0.0004970000000000009,-1.6518642095981875,-0.25002026557922363,-0.26377153396606445,0,-0.00764918327331543,pyramid_split_1500
kodim01,2000,0,aniso_onedge,23.3924,0.8509,0.064038,22.212720215042246,5.057934761047363,5.1921563148498535,1500,0.1299924850463867,23.7503,0.87658,0.06031,23.605956143741214,5.294164419174194,6.168208360671997,1500,0.3555405139923095,-0.3579000000000008,-0.025680000000000036,0.003727999999999995,-1.3932359286989673,-0.23622965812683105,-0.9760520458221436,0,-0.22554802894592282,refine_twin
kodim01,2000,0,quadtree_wse,21.5659,0.79865,0.07354,21.562798393814465,4.6540961265563965,4.9634294509887695,1500,0.3056807518005371,23.5556,0.87046,0.060476,23.61961273195904,5.038330793380737,5.772238969802856,1500,0.7285842895507812,-1.9896999999999991,-0.07181000000000004,0.013063999999999992,-2.0568143381445765,-0.3842346668243408,-0.808809518814086,0,-0.42290353775024414,refine_twin
kodim07,2000,0,aniso_onedge,23.6992,0.88988,0.055382,24.52418903416996,5.130277633666992,5.23498010635376,1500,0.1009035110473632,25.6996,0.9395,0.039506,27.554972610448186,4.873820781707764,5.180243253707886,1500,0.3026084899902344,-2.000399999999999,-0.04962,0.015876,-3.0307835762782247,0.2564568519592285,0.05473685264587402,0,-0.20170497894287118,refine_twin
kodim07,2000,0,quadtree_wse,24.4372,0.90655,0.046287,25.12732746475454,4.690968036651611,4.9990763664245605,1500,0.30446457862854,25.4897,0.93821,0.039455,27.739478468179225,4.683631181716919,5.391913414001465,1500,0.7042114734649658,-1.0524999999999984,-0.03166000000000002,0.006832000000000005,-2.6121510034246853,0.007336854934692383,-0.3928370475769043,0,-0.39974689483642584,refine_twin
