image,budget,seed,strategy,psnr_arm,ms_ssim_arm,edge_mae_arm,auc_psnr_arm,fit_seconds_arm,total_seconds_arm,iterations_run_arm,psnr_single,ms_ssim_single,edge_mae_single,auc_psnr_single,fit_seconds_single,total_seconds_single,iterations_run_single,psnr_pyramid_split_1500,ms_ssim_pyramid_split_1500,edge_mae_pyramid_split_1500,auc_psnr_pyramid_split_1500,fit_seconds_pyramid_split_1500,total_seconds_pyramid_split_1500,iterations_run_pyramid_split_1500,d_psnr_vs_single,d_psnr_vs_pyramid_split_1500,d_ms_ssim_vs_single,d_ms_ssim_vs_pyramid_split_1500,d_edge_mae_vs_single,d_edge_mae_vs_pyramid_split_1500,d_auc_psnr_vs_single,d_auc_psnr_vs_pyramid_split_1500,d_fit_seconds_vs_single,d_fit_seconds_vs_pyramid_split_1500,d_total_seconds_vs_single,d_total_seconds_vs_pyramid_split_1500,d_iterations_run_vs_single,d_iterations_run_vs_pyramid_split_1500,arm
kodim19,5000,0,quadtree_wse,31.2749,0.96355,0.025972,29.87386523253764,6.365276336669922,7.7222301959991455,1500,30.2945,0.95355,0.026776,30.03922332422665,6.180785179138184,7.478650093078613,1500,31.252,0.96437,0.026279,28.387359114628463,5.93076491355896,7.214878559112549,1500,0.9803999999999995,0.02289999999999992,0.010000000000000009,-0.0008199999999999319,-0.0008040000000000026,-0.0003070000000000017,-0.1653580916890114,1.486506117909176,0.18449115753173828,0.4345114231109619,0.24358010292053223,0.5073516368865967,0,0,pyramid_leveliters_200_1300
kodim01,2000,0,aniso_onedge,24.0346,0.8882,0.060678,23.261070855225302,5.772429943084717,6.795804262161255,1500,23.7503,0.87658,0.06031,23.605956143741214,5.294164419174194,6.168208360671997,1500,24.1362,0.89063,0.060218,22.687066508261974,5.147613048553467,5.467252254486084,1500,0.2843000000000018,-0.10159999999999769,0.011619999999999964,-0.0024300000000000432,0.00036800000000000027,0.0004600000000000021,-0.34488528851591127,0.5740043469633278,0.47826552391052246,0.62481689453125,0.6275959014892578,1.328552007675171,0,0,pyramid_leveliters_300_1200
kodim01,2000,0,quadtree_wse,23.2227,0.87496,0.061953,22.98983415561648,5.118197679519653,5.800452947616577,1500,23.5556,0.87046,0.060476,23.61961273195904,5.038330793380737,5.772238969802856,1500,23.7373,0.88002,0.061619,22.445425908990188,4.969363689422607,5.66556715965271,1500,-0.33289999999999864,-0.5146000000000015,0.0044999999999999485,-0.0050600000000000644,0.0014769999999999991,0.00033400000000000096,-0.6297785763425594,0.5444082466262934,0.07986688613891602,0.1488339900970459,0.02821397781372159,0.1348857879638672,0,0,pyramid_leveliters_300_1200
kodim01,5000,0,aniso_onedge,26.2558,0.94395,0.045677,25.22578425785953,4.90607500076294,5.662720203399658,1500,25.5663,0.92724,0.046787,25.429016622246863,4.64297342300415,5.516396999359131,1500,26.293,0.94454,0.04583,24.468254164427897,5.119870185852051,5.970786094665527,1500,0.6895000000000024,-0.03719999999999857,0.016710000000000003,-0.0005900000000000905,-0.0011099999999999999,-0.00015300000000000036,-0.2032323643873326,0.7575300934316331,0.26310157775878995,-0.21379518508911044,0.14632320404052734,-0.30806589126586914,0,0,pyramid_leveliters_300_1200
kodim01,5000,0,quadtree_wse,26.1206,0.94112,0.045804,25.173765931310776,4.994970083236694,6.5017619132995605,1500,25.4443,0.92602,0.047108,25.4952709154736,4.752824306488037,6.3940370082855225,1500,26.0797,0.9416,0.046198,24.409721141023745,5.1878955364227295,6.660300731658936,1500,0.6763000000000012,0.0409000000000006,0.015100000000000002,-0.00048000000000003595,-0.0013039999999999996,-0.00039400000000000546,-0.321504984162825,0.7640447902870307,0.24214577674865723,-0.19292545318603516,0.10772490501403809,-0.1585388183593759,0,0,pyramid_leveliters_300_1200
kodim07,2000,0,aniso_onedge,27.8274,0.95931,0.036546,27.73752369667547,5.416913747787476,5.72075343132019,1500,25.6996,0.9395,0.039506,27.554972610448186,4.873820781707764,5.180243253707886,1500,27.7158,0.95996,0.037306,26.40125443316683,5.254045009613037,5.549288749694824,1500,2.1278000000000006,0.11159999999999926,0.019809999999999994,-0.0006500000000000394,-0.0029599999999999974,-0.0007599999999999968,0.182551086227285,1.3362692635086404,0.5430929660797119,0.16286873817443848,0.5405101776123047,0.1714646816253662,0,0,pyramid_leveliters_300_1200
kodim07,2000,0,quadtree_wse,28.0822,0.96225,0.034876,27.72470340003484,5.260390281677246,6.049607276916504,1500,25.4897,0.93821,0.039455,27.739478468179225,4.683631181716919,5.391913414001465,1500,29.8606,0.9709,0.03413,26.806940389840584,4.869863271713257,5.592299699783325,1500,2.592500000000001,-1.7784000000000013,0.02404000000000006,-0.008649999999999936,-0.004579,0.0007459999999999967,-0.014775068144384562,0.9177630101942569,0.5767590999603271,0.39052700996398926,0.6576938629150391,0.4573075771331787,0,0,pyramid_leveliters_300_1200
kodim07,5000,0,aniso_onedge,34.8299,0.99115,0.018499,32.56920967712809,5.753923177719116,6.57413125038147,1500,32.6475,0.98555,0.019218,33.00327685358049,4.837054252624512,5.783649682998657,1500,34.0212,0.98974,0.020759,30.264150437551628,5.374202728271484,6.274491786956787,1500,2.1824000000000012,0.8087000000000018,0.005599999999999938,0.0014100000000000223,-0.0007189999999999974,-0.002259999999999998,-0.4340671764523947,2.3050592395764653,0.9168689250946045,0.37972044944763184,0.7904815673828125,0.2996394634246826,0,0,pyramid_leveliters_300_1200
kodim07,5000,0,quadtree_wse,35.0058,0.99107,0.018136,32.52027761180692,5.698851823806763,7.321633577346802,1500,33.3024,0.98652,0.019556,33.19543841682012,4.933730363845825,6.480473279953003,1500,34.5329,0.99033,0.019536,30.24234741572303,5.4842681884765625,7.052940607070923,1500,1.703400000000002,0.47290000000000276,0.004550000000000054,0.0007399999999999629,-0.0014200000000000011,-0.001400000000000002,-0.6751608050131992,2.2779301960838865,0.7651214599609375,0.2145836353302002,0.8411602973937988,0.2686929702758789,0,0,pyramid_leveliters_300_1200
kodim13,2000,0,aniso_onedge,20.5973,0.81872,0.094756,20.141977005437504,5.549912691116333,5.8638575077056885,1500,20.2951,0.79866,0.095207,20.46915054321289,5.258689880371094,5.549558877944946,1500,20.5919,0.81709,0.094991,19.721924434430285,5.346482038497925,5.639872074127197,1500,0.30219999999999914,0.005400000000001626,0.020059999999999967,0.0016300000000000203,-0.0004509999999999931,-0.0002349999999999991,-0.32717353777538705,0.4200525710072185,0.29122281074523926,0.2034306526184082,0.3142986297607422,0.2239854335784912,0,0,pyramid_leveliters_300_1200
