image,budget,seed,bits,mode,fit_qat_mode,lambda_rate,psnr,bpp,ms_ssim,delta_psnr_vs_none,delta_bpp_vs_none,delta_ms_ssim_vs_none,rd_win_vs_none
kodim13,512,0,10/5/5/5,fit_qat,ste,0.01,19.7351,0.313,0.78035,0.6385000000000005,0.0039000000000000146,0.04122999999999999,False
kodim19,512,0,16/8/8/8,none,off,0.0,25.6807,0.459,0.91965,0.0,0.0,0.0,False
kodim19,512,0,16/8/8/8,qat,off,0.0,25.369,0.4569,0.91832,-0.31170000000000186,-0.0021000000000000463,-0.0013299999999999423,False
kodim19,512,0,16/8/8/8,refine_noste,off,0.0,25.7436,0.4569,0.9203,0.06289999999999907,-0.0021000000000000463,0.0006500000000000394,True
kodim19,512,0,16/8/8/8,fit_qat,ste,0.0,25.3845,0.4578,0.91779,-0.29620000000000246,-0.0012000000000000344,-0.0018599999999999728,False
kodim19,512,0,16/8/8/8,fit_qat,ste,0.001,25.4372,0.4569,0.9188,-0.24350000000000094,-0.0021000000000000463,-0.0008500000000000174,False
kodim19,512,0,16/8/8/8,fit_qat,ste,0.01,25.4255,0.4577,0.91872,-0.2552000000000021,-0.0013000000000000234,-0.0009299999999999864,False
kodim19,512,0,12/8/6/8,none,off,0.0,24.9975,0.4122,0.90268,0.0,0.0,0.0,False
kodim19,512,0,12/8/6/8,qat,off,0.0,25.1346,0.408,0.91144,0.13710000000000022,-0.004200000000000037,0.00875999999999999,True
kodim19,512,0,12/8/6/8,refine_noste,off,0.0,25.0286,0.411,0.90515,0.031100000000002126,-0.0012000000000000344,0.0024699999999999722,True
kodim19,512,0,12/8/6/8,fit_qat,ste,0.0,25.1202,0.408,0.91132,0.12270000000000181,-0.004200000000000037,0.008639999999999981,True
kodim19,512,0,12/8/6/8,fit_qat,ste,0.001,25.1649,0.408,0.91189,0.16740000000000066,-0.004200000000000037,0.00920999999999994,True
kodim19,512,0,12/8/6/8,fit_qat,ste,0.01,25.058,0.4072,0.91125,0.06050000000000111,-0.0050000000000000044,0.008569999999999967,True
kodim19,512,0,12/6/6/6,none,off,0.0,24.4738,0.3562,0.88527,0.0,0.0,0.0,False
kodim19,512,0,12/6/6/6,qat,off,0.0,24.3608,0.3549,0.8968,-0.11299999999999955,-0.0013000000000000234,0.01153000000000004,False
kodim19,512,0,12/6/6/6,refine_noste,off,0.0,24.5443,0.3544,0.88806,0.07049999999999912,-0.0018000000000000238,0.002789999999999959,True
kodim19,512,0,12/6/6/6,fit_qat,ste,0.0,24.547,0.3561,0.8976,0.07319999999999993,-9.999999999998899e-05,0.012329999999999952,True
kodim19,512,0,12/6/6/6,fit_qat,ste,0.001,24.5064,0.3556,0.89866,0.03259999999999863,-0.0005999999999999894,0.013390000000000013,True
kodim19,512,0,12/6/6/6,fit_qat,ste,0.01,24.3686,0.3556,0.89348,-0.10519999999999996,-0.0005999999999999894,0.00821000000000005,False
kodim19,512,0,10/5/5/5,none,off,0.0,21.9683,0.3057,0.81602,0.0,0.0,0.0,False
kodim19,512,0,10/5/5/5,qat,off,0.0,23.2374,0.3096,0.86781,1.2691000000000017,0.003899999999999959,0.05179,False
kodim19,512,0,10/5/5/5,refine_noste,off,0.0,22.1094,0.3029,0.82087,0.14110000000000156,-0.0028000000000000247,0.004850000000000021,True
kodim19,512,0,10/5/5/5,fit_qat,ste,0.0,23.1103,0.3102,0.87303,1.1419999999999995,0.0044999999999999485,0.057010000000000005,False
kodim19,512,0,10/5/5/5,fit_qat,ste,0.001,22.5458,0.3105,0.86636,0.5775000000000006,0.004799999999999971,0.05034000000000005,False
kodim19,512,0,10/5/5/5,fit_qat,ste,0.01,22.9557,0.3082,0.86547,0.9874000000000009,0.0024999999999999467,0.049449999999999994,False
